State,Operational,Under construction,Announced,Total Data Centers
Texas,212,140,610,962
Virginia,320,136,498,954
Georgia,62,56,340,458
Pennsylvania,37,11,209,257
Arizona,83,35,136,254
Ohio,101,51,98,250
Illinois,78,19,153,250
California,166,6,40,212
Utah,29,10,117,156
Oregon,97,14,33,144
Nevada,27,29,75,134
New York,50,3,72,125
Indiana,28,23,69,120
Iowa,58,15,38,111
Washington,71,3,26,100
North Carolina,43,12,40,95
Minnesota,27,4,45,76
New Mexico,13,5,52,70
Missouri,24,8,37,69
Florida,53,2,12,67
Oklahoma,22,9,34,65
Alabama,15,8,36,59
Wisconsin,18,12,28,58
New Jersey,49,2,6,57
Michigan,31,1,21,53
Mississippi,10,21,19,50
Colorado,31,6,10,47
Kentucky,10,2,34,46
Wyoming,12,8,25,45
West Virginia,4,0,39,43
Connecticut,7,0,33,40
Nebraska,26,5,8,39
South Carolina,18,12,8,38
Tennessee,31,3,3,37
Louisiana,10,11,16,37
Maryland,12,12,10,34
Massachusetts,23,0,0,23
Kansas,8,1,11,20
Arkansas,4,2,12,18
Montana,4,0,11,15
North Dakota,2,4,8,14
Idaho,4,2,6,12
Maine,4,0,7,11
Delaware,6,0,3,9
South Dakota,2,0,6,8
New Hampshire,6,0,0,6
Rhode Island,3,0,0,3
Hawaii,2,0,0,2
Vermont,1,0,0,1
Alaska,0,0,0,0
